หมวดหมู่หลัก (TH),หมวดหมู่หลัก (CN),หมวดหมู่ย่อย (TH),หมวดหมู่ย่อย (CN),กลุ่มสินค้า (TH),ชื่อสินค้า (TH),ชื่อสินค้า (CN),SKU,Slug (รหัสสินค้า),โฟลเดอร์ที่ต้องวางรูป
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวตลอด,สตัดเกลียวตลอด สแตนเลส 304 10*3,304不锈钢丝杆10*3 304 10*3,SG-304BXG-10-3BXG,01-01-01-012,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-01-quan-ya-si-gan/01-01-01-012/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวตลอด,สตัดเกลียวตลอด สแตนเลส 201 8*3,201不锈钢丝杆8*3 201 8*3,SG-201BXG-8-3BXG,01-01-01-016,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-01-quan-ya-si-gan/01-01-01-016/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวตลอด,สตัดเกลียวตลอด ชุบกัลวาไนซ์ 8*3*30,热镀锌丝杆8*3*30（黄包）,SG-RDX-8-3-30,01-01-01-017,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-01-quan-ya-si-gan/01-01-01-017/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวตลอด,สตัดเกลียวตลอด ชุบกัลวาไนซ์ 10*3*20,热镀锌丝杆10*3*20（蓝包）,SG-RDX-10-3-20,01-01-01-018,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-01-quan-ya-si-gan/01-01-01-018/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวตลอด,สตัดเกลียวตลอด ชุบกัลวาไนซ์ 12*3*15,热镀锌丝杆12*3*15（橘色）,SG-RDX-12-3-15,01-01-01-019,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-01-quan-ya-si-gan/01-01-01-019/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวตลอด,สตัดเกลียวตลอด ชุบซิงค์  12*3*15,镀锌丝杆12*3*15 48斤( 12 * 3 * 15 ),SG-DX-12-3-15,01-01-01-020,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-01-quan-ya-si-gan/01-01-01-020/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวตลอด,สตัดเกลียวตลอด สแตนเลส 304 12*3,304不锈钢丝杆12*3 304 12*3,SG-304BXG-12-3BXG,01-01-01-021,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-01-quan-ya-si-gan/01-01-01-021/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวชุบสังกะสี ยาว 1 เมตร,สตัดเกลียวตลอด มาตรฐานจีน 6*1,国标丝杆6*1（ 6*1）,SG-GB-6-1,01-01-02-002,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-02-du-xin-yi-mi-si-gan/01-01-02-002/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวชุบสังกะสี ยาว 1 เมตร,สตัดเกลียวตลอด มาตรฐานจีน 8*1,国标丝杆8*1（ 8*1）,SG-GB-8-1,01-01-02-003,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-02-du-xin-yi-mi-si-gan/01-01-02-003/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวชุบสังกะสี ยาว 1 เมตร,สตัดเกลียวตลอด มาตรฐานจีน 10*1,国标丝杆10*1（ 10*1）,SG-GB-10-1,01-01-02-004,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-02-du-xin-yi-mi-si-gan/01-01-02-004/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวชุบสังกะสี ยาว 1 เมตร,สตัดเกลียวตลอด มาตรฐานจีน 12*1,国标丝杆12*1 （ 12*1）,SG-GB-12-1,01-01-02-005,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-02-du-xin-yi-mi-si-gan/01-01-02-005/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวชุบสังกะสี ยาว 1 เมตร,สตัดเกลียวตลอด มาตรฐานจีน 14*1,国标丝杆14*1 （ 14*1）,SG-GB-14-1,01-01-02-006,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-02-du-xin-yi-mi-si-gan/01-01-02-006/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวชุบสังกะสี ยาว 1 เมตร,สตัดเกลียวตลอด มาตรฐานจีน 16*1,国标丝杆16*1 （ 16*1）,SG-GB-16-1,01-01-02-007,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-02-du-xin-yi-mi-si-gan/01-01-02-007/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวชุบสังกะสี ยาว 1 เมตร,สตัดเกลียวตลอด มาตรฐานจีน 18*1,国标丝杆18*1 （ 18*1）,SG-GB-18-1,01-01-02-008,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-02-du-xin-yi-mi-si-gan/01-01-02-008/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวชุบสังกะสี ยาว 1 เมตร,สตัดเกลียวตลอด มาตรฐานจีน 20*1,国标丝杆20*1 （ 20*1）,SG-GB-20-1,01-01-02-009,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-02-du-xin-yi-mi-si-gan/01-01-02-009/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวชุบสังกะสี ยาว 1 เมตร,สตัดเกลียวตลอด มาตรฐานจีน 22*1,国标丝杆22*1 （ 22*1）,SG-GB-22-1,01-01-02-010,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-02-du-xin-yi-mi-si-gan/01-01-02-010/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวชุบสังกะสี ยาว 1 เมตร,สตัดเกลียวตลอด มาตรฐานจีน 24*1,国标丝杆24*1 （ 24*1）,SG-GB-24-1,01-01-02-011,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-02-du-xin-yi-mi-si-gan/01-01-02-011/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวชุบสังกะสี ยาว 1 เมตร,สตัดเกลียวตลอด มาตรฐานจีน 30*1,国标丝杆30*1 （ 30*1）,SG-GB-30-1,01-01-02-012,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-02-du-xin-yi-mi-si-gan/01-01-02-012/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวชุบสังกะสี ยาว 1 เมตร,สตัดเกลียวตลอด มาตรฐานจีน 27*1,国标丝杆27*1 （ 27*1）,SG-GB-27-1,01-01-02-017,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-02-du-xin-yi-mi-si-gan/01-01-02-017/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวเกรด 8 ยาว 1 เมตร (สีดำ),สตัดเกลียวตลอด เกรด 8 6*1,8级丝杆6*1M,SG-8J-6-1J,01-01-03-001,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-03-8ji-yi-mi-si-gan/01-01-03-001/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวเกรด 8 ยาว 1 เมตร (สีดำ),สตัดเกลียวตลอด เกรด 8 8*1,8级丝杆8*1M,SG-8J-8-1J,01-01-03-002,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-03-8ji-yi-mi-si-gan/01-01-03-002/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวเกรด 8 ยาว 1 เมตร (สีดำ),สตัดเกลียวตลอด เกรด 8 10*1,8级丝杆10*1M,SG-8J-10-1J,01-01-03-003,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-03-8ji-yi-mi-si-gan/01-01-03-003/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวเกรด 8 ยาว 1 เมตร (สีดำ),สตัดเกลียวตลอด เกรด 8 12*1,8级丝杆12*1M,SG-8J-12-1J,01-01-03-004,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-03-8ji-yi-mi-si-gan/01-01-03-004/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวเกรด 8 ยาว 1 เมตร (สีดำ),สตัดเกลียวตลอด เกรด 8 14*1,8级丝杆14*1M,SG-8J-14-1J,01-01-03-005,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-03-8ji-yi-mi-si-gan/01-01-03-005/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวเกรด 8 ยาว 1 เมตร (สีดำ),สตัดเกลียวตลอด เกรด 8 16*1,8级丝杆16*1M,SG-8J-16-1J,01-01-03-006,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-03-8ji-yi-mi-si-gan/01-01-03-006/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวเกรด 8 ยาว 1 เมตร (สีดำ),สตัดเกลียวตลอด เกรด 8 18*1,8级丝杆18*1M,SG-8J-18-1J,01-01-03-007,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-03-8ji-yi-mi-si-gan/01-01-03-007/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวเกรด 8 ยาว 1 เมตร (สีดำ),สตัดเกลียวตลอด เกรด 8 20*1,8级丝杆20*1M,SG-8J-20-1J,01-01-03-008,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-03-8ji-yi-mi-si-gan/01-01-03-008/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวเกรด 8 ยาว 1 เมตร (สีดำ),สตัดเกลียวตลอด เกรด 8 22*1,8级丝杆22*1M,SG-8J-22-1J,01-01-03-009,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-03-8ji-yi-mi-si-gan/01-01-03-009/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวเกรด 8 ยาว 1 เมตร (สีดำ),สตัดเกลียวตลอด เกรด 8 24*1,8级丝杆24*1M,SG-8J-24-1J,01-01-03-010,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-03-8ji-yi-mi-si-gan/01-01-03-010/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวเกรด 8 ยาว 1 เมตร (สีดำ),สตัดเกลียวตลอด เกรด 8 27*1,8级丝杆27*1M,SG-8J-27-1J,01-01-03-011,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-03-8ji-yi-mi-si-gan/01-01-03-011/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวเกรด 8 ยาว 1 เมตร (สีดำ),สตัดเกลียวตลอด เกรด 8 30*1,8级丝杆30*1M,SG-8J-30-1J,01-01-03-012,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-03-8ji-yi-mi-si-gan/01-01-03-012/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวเกรด 8 ยาว 1 เมตร (สีดำ),สตัดเกลียวตลอด เกรด 8 36*1,8级丝杆36*1M,SG-8J-36-1J,01-01-03-014,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-03-8ji-yi-mi-si-gan/01-01-03-014/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สกรูเกลียวหยาบ,น็อตตัวเมีย เกลียวหยาบ M12,粗牙螺母M12,LM-CY-12,01-01-04-003,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-04-cu-ya-luo-gan/01-01-04-003/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สกรูเกลียวหยาบ,สตัดเกลียวหยาบแบบสั่งทำพิเศษ 12*700,非标粗牙杆12*700（一米重1.18斤） (1 1.18 ),CYG-FB-12-700,01-01-04-008,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-04-cu-ya-luo-gan/01-01-04-008/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สกรูเกลียวหยาบ,สตัดเกลียวหยาบแบบสั่งทำพิเศษ 12*750,非标粗牙杆12*750（一米重1.18斤） (1 1.18 ),CYG-FB-12-750,01-01-04-009,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-04-cu-ya-luo-gan/01-01-04-009/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สกรูเกลียวหยาบ,สตัดเกลียวหยาบแบบสั่งทำพิเศษ 12*800,非标粗牙杆12*800（一米重1.18斤） (1 1.18 ),CYG-FB-12-800,01-01-04-010,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-04-cu-ya-luo-gan/01-01-04-010/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สกรูเกลียวหยาบ,สตัดเกลียวหยาบแบบสั่งทำพิเศษ 12*1000,非标粗牙杆12*1000（25支装)（一米重1.18斤） (1 1.18 )(25),CYG-FB-12-1000,01-01-04-013,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-04-cu-ya-luo-gan/01-01-04-013/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สกรูเกลียวหยาบ,สตัดเกลียวหยาบ 12*3 เมตร,粗牙杆12*3米,CYG-CY-12-3,01-01-04-024,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-04-cu-ya-luo-gan/01-01-04-024/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สกรูเกลียวหยาบ,สตัดเกลียวกันซึมแบบสั่งทำพิเศษ 12*700,12*700非标止水杆（70*22）（一米重1.18斤）,ZSG-FB-12-700,01-01-04-026,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-04-cu-ya-luo-gan/01-01-04-026/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สกรูเกลียวหยาบ,สตัดเกลียวกันซึมแบบสั่งทำพิเศษ 12*750,12*750非标止水杆（75*30）（一米重1.18斤）,ZSG-FB-12-750,01-01-04-027,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-04-cu-ya-luo-gan/01-01-04-027/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สกรูเกลียวหยาบ,สตัดเกลียวกันซึมแบบสั่งทำพิเศษ 12*800,12*800非标止水杆（80*32）（一米重1.18斤）,ZSG-FB-12-800,01-01-04-028,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-04-cu-ya-luo-gan/01-01-04-028/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สกรูเกลียวหยาบ,สตัดเกลียวกันซึมแบบสั่งทำพิเศษ 12*850,12*850非标止水杆（85*40）（一米重1.18斤）,ZSG-FB-12-850,01-01-04-036,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-04-cu-ya-luo-gan/01-01-04-036/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สกรูเกลียวหยาบ,น็อตตัวเมีย ทรงภูเขา,山型母（山型螺母）,LM-SX-01,01-01-04-043,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-04-cu-ya-luo-gan/01-01-04-043/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,น็อตชุบสังกะสี,镀锌螺母,น็อตชุบสังกะสี,น็อตตัวเมีย ชุบซิงค์ M4 (M4),镀锌螺母M4（ M4）,LM-DX-04,01-02-01-001,public/products/01-jin-gu-jian/01-02-du-xin-luo-mu/01-02-01-du-xin-luo-mu/01-02-01-001/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,น็อตชุบสังกะสี,镀锌螺母,น็อตชุบสังกะสี,น็อตตัวเมีย ชุบซิงค์ M5 (M5),镀锌螺母M5（ M5）,LM-DX-05,01-02-01-002,public/products/01-jin-gu-jian/01-02-du-xin-luo-mu/01-02-01-du-xin-luo-mu/01-02-01-002/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,น็อตชุบสังกะสี,镀锌螺母,น็อตชุบสังกะสี,น็อตตัวเมีย ชุบซิงค์ M6 (M6),镀锌螺母M6（ M6）,LM-DX-06,01-02-01-003,public/products/01-jin-gu-jian/01-02-du-xin-luo-mu/01-02-01-du-xin-luo-mu/01-02-01-003/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,น็อตชุบสังกะสี,镀锌螺母,น็อตชุบสังกะสี,น็อตตัวเมีย ชุบซิงค์ M8 (M8),镀锌螺母M8 ( M8),LM-DX-08,01-02-01-004,public/products/01-jin-gu-jian/01-02-du-xin-luo-mu/01-02-01-du-xin-luo-mu/01-02-01-004/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,น็อตชุบสังกะสี,镀锌螺母,น็อตชุบสังกะสี,น็อตตัวเมีย ชุบซิงค์ M10 (M10),镀锌螺母M10 ( M10),LM-DX-10,01-02-01-005,public/products/01-jin-gu-jian/01-02-du-xin-luo-mu/01-02-01-du-xin-luo-mu/01-02-01-005/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,น็อตชุบสังกะสี,镀锌螺母,น็อตชุบสังกะสี,น็อตตัวเมีย ชุบซิงค์ M12 (M12),镀锌螺母M12 ( M12),LM-DX-12,01-02-01-006,public/products/01-jin-gu-jian/01-02-du-xin-luo-mu/01-02-01-du-xin-luo-mu/01-02-01-006/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,น็อตชุบสังกะสี,镀锌螺母,น็อตชุบสังกะสี,น็อตตัวเมีย ชุบซิงค์ M14 (M14),镀锌螺母M14( M14),LM-DX-14,01-02-01-007,public/products/01-jin-gu-jian/01-02-du-xin-luo-mu/01-02-01-du-xin-luo-mu/01-02-01-007/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,น็อตชุบสังกะสี,镀锌螺母,น็อตชุบสังกะสี,น็อตตัวเมีย ชุบซิงค์ M16 (M16),镀锌螺母M16（ M16）,LM-DX-16,01-02-01-008,public/products/01-jin-gu-jian/01-02-du-xin-luo-mu/01-02-01-du-xin-luo-mu/01-02-01-008/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,น็อตชุบสังกะสี,镀锌螺母,น็อตชุบสังกะสี,น็อตตัวเมีย ชุบซิงค์ M18 (M18),镀锌螺母M18（ M18）,LM-DX-18,01-02-01-009,public/products/01-jin-gu-jian/01-02-du-xin-luo-mu/01-02-01-du-xin-luo-mu/01-02-01-009/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,น็อตชุบสังกะสี,镀锌螺母,น็อตชุบสังกะสี,น็อตตัวเมีย ชุบซิงค์ M20,镀锌螺母M20,LM-DX-20,01-02-01-010,public/products/01-jin-gu-jian/01-02-du-xin-luo-mu/01-02-01-du-xin-luo-mu/01-02-01-010/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,น็อตชุบสังกะสี,镀锌螺母,น็อตชุบสังกะสี,น็อตตัวเมีย ชุบซิงค์ M22 (M22),镀锌螺母M22（ M22）,LM-DX-22,01-02-01-011,public/products/01-jin-gu-jian/01-02-du-xin-luo-mu/01-02-01-du-xin-luo-mu/01-02-01-011/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,น็อตชุบสังกะสี,镀锌螺母,น็อตชุบสังกะสี,น็อตตัวเมีย ชุบซิงค์ M24 (M24),镀锌螺母M24（ M24）,LM-DX-24,01-02-01-012,public/products/01-jin-gu-jian/01-02-du-xin-luo-mu/01-02-01-du-xin-luo-mu/01-02-01-012/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,น็อตชุบสังกะสี,镀锌螺母,น็อตชุบสังกะสี,น็อตตัวเมีย ชุบซิงค์ M27 (M27),镀锌螺母M27（ M27）,LM-DX-27,01-02-01-013,public/products/01-jin-gu-jian/01-02-du-xin-luo-mu/01-02-01-du-xin-luo-mu/01-02-01-013/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,น็อตชุบสังกะสี,镀锌螺母,น็อตชุบสังกะสี,น็อตตัวเมีย ชุบซิงค์ M30 (M30),镀锌螺母M30（ M30）,LM-DX-30,01-02-01-014,public/products/01-jin-gu-jian/01-02-du-xin-luo-mu/01-02-01-du-xin-luo-mu/01-02-01-014/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,น็อตชุบสังกะสี,镀锌螺母,น็อตชุบสังกะสี,น็อตตัวเมีย ชุบซิงค์ M36 (M36),镀锌螺母M36（ M36）,LM-DX-36,01-02-01-015,public/products/01-jin-gu-jian/01-02-du-xin-luo-mu/01-02-01-du-xin-luo-mu/01-02-01-015/
